,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
45,colegiomagnum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0
46,colegiomartinus,1.41,1.27,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,2.68,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0
47,colegionovopatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
48,colegioplanck,1.27,1.0,0.0,1.3,0.43,0.0,0.0,3.59,0.08,0.29,0.83,0.0,1.31,0.0,0.7,1.17,0.0,0.92,0.0,2.55,3.21,0.0,0.0,0.0,0.0,0.0
49,colegiopremium,1.32,0.82,1.4,0.29,2.0,1.0,0.78,4.67,0.0,0.0,0.0,0.33,1.4,0.22,0.25,0.0,0.0,1.75,0.0,1.5,0.0,0.0,3.11,0.25,0.56,0.0
50,colegiopremiumgentil,0.94,1.36,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,0.0,0.11,0.0
51,colegiosaberviver,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,11.11,2.67,0.0,0.0,0.0,4.76,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,colegiosantamaria,1.27,1.28,12.5,1.32,3.12,2.0,0.76,0.0,0.0,0.0,0.0,0.0,3.67,4.76,0.14,0.14,3.88,0.0,6.67,10.0,0.0,0.0,0.0,5.26,0.0,0.0
53,colegiosete,1.01,0.98,0.74,3.44,0.57,0.89,0.88,0.44,0.83,0.29,0.42,3.0,1.17,1.42,1.16,0.34,2.46,0.29,0.0,0.09,0.0,0.67,0.11,0.41,0.95,0.71
54,colegiouirapuru,0.79,1.06,0.26,5.0,2.0,2.0,0.18,0.03,0.0,0.0,0.0,0.0,0.4,1.38,0.59,1.37,0.73,0.65,0.0,0.09,0.0,0.0,0.0,0.0,0.33,0.0
