,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
100,magister,817.0,0.0,0.0,86.0,0.0,0.0,2.0,0.0,2000.0,0.0
101,manoelbatista,23.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,maplebearslz,6210.0,0.0,0.0,3741.0,0.0,0.0,0.0,3.0,23585.0,0.0
103,mariliamattoso,4279.0,339.0,149.0,133.0,5.0,11.0,0.0,0.0,42196.0,445.0
104,master,167.0,0.0,12.0,13948.0,10.0,9.0,13.0,2.0,64880.0,25.0
105,mastersolucoes,1.0,0.0,0.0,27.0,4.0,2.0,0.0,0.0,0.0,0.0
106,moaciralves,58.0,352.0,321.0,1.0,16.0,4.0,0.0,0.0,87.0,494.0
107,monsenhorgoncalo,10.0,2.0,201.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
108,murilorocha,141.0,282.0,1011.0,2.0,22.0,23.0,0.0,0.0,252.0,519.0
109,navegasas,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
110,novotempo,18.0,0.0,1.0,84.0,0.0,0.0,3.0,0.0,1303.0,0.0
111,nucleocriativo,1517.0,25.0,15.0,150.0,62.0,25.0,0.0,0.0,1835.0,244.0
112,objetivolorena,8387.0,1020.0,404.0,3809.0,8.0,3.0,0.0,0.0,11857.0,1212.0
113,overabelcabral,3474.0,528.0,326.0,1222.0,2.0,4.0,6.0,0.0,27749.0,1548.0
114,overjoaopessoa,453.0,38.0,4.0,169.0,0.0,5.0,1.0,0.0,2452.0,15.0
115,overlimaesilva,1410.0,0.0,48.0,234.0,0.0,0.0,1.0,0.0,5125.0,0.0
116,overmarciliofurtado,825.0,92.0,23.0,740.0,15.0,15.0,5.0,0.0,12732.0,416.0
117,overmossoro,1092.0,28.0,29.0,238.0,7.0,4.0,3.0,0.0,4803.0,76.0
118,overpontanegra,1690.0,135.0,52.0,619.0,4.0,12.0,6.0,1.0,11372.0,354.0
119,overzonanorte,1996.0,89.0,57.0,522.0,0.0,118.0,3.0,0.0,6892.0,74.0
120,pauloviana,14.0,3.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
121,physicsalcindocacela,135.0,147.0,14.0,284.0,39.0,40.0,2.0,0.0,4411.0,381.0
122,physicsalmirantebarroso,379.0,965.0,225.0,1551.0,53.0,36.0,39.0,0.0,12097.0,2108.0
123,physicsaugustomontenegro,387.0,1096.0,264.0,661.0,8.0,15.0,1.0,0.0,7099.0,1334.0
124,physicsbatistacampos,777.0,1537.0,445.0,483.0,245.0,152.0,5.0,0.0,5917.0,2219.0
125,physicscidadenova,1012.0,1146.0,305.0,1221.0,14.0,87.0,7.0,1.0,13571.0,2433.0
126,physicsconselheirofurtado,551.0,25.0,12.0,1706.0,13.0,10.0,1.0,0.0,10377.0,93.0
127,physicsmacapa,2.0,181.0,46.0,1223.0,18.0,24.0,20.0,0.0,2893.0,865.0
128,physicsumarizal,701.0,550.0,231.0,994.0,74.0,17.0,16.0,4.0,6870.0,1153.0
129,pioxi,3381.0,27.0,11.0,2916.0,13.0,492.0,0.0,7.0,57471.0,214.0
130,pioxiicolegio,2245.0,0.0,0.0,1242.0,0.0,0.0,0.0,0.0,26897.0,0.0
131,plannetataboao,4378.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
132,portinari,6279.0,1357.0,440.0,3775.0,107.0,48.0,6.0,0.0,53369.0,4816.0
133,porto,8636.0,2571.0,54.0,152.0,8.0,37.0,12.0,5.0,40905.0,7717.0
134,portoseguro,901.0,0.0,0.0,263.0,0.0,2.0,6.0,0.0,435.0,0.0
135,prevest,45.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0
136,primeirodemaio,7.0,125.0,24.0,53.0,0.0,1.0,0.0,0.0,210.0,84.0
137,prismapatrocinio,2494.0,2.0,1.0,1574.0,0.0,1.0,0.0,4.0,15723.0,0.0
138,profederal,637.0,48.0,7.0,249.0,488.0,26.0,0.0,0.0,2269.0,633.0
139,provaspoliedro,8693.0,0.0,7.0,16271.0,0.0,13.0,0.0,1.0,49138.0,1.0
140,psantagema,840.0,1279.0,173.0,53.0,30.0,1.0,0.0,2.0,2317.0,1737.0
141,sagradafamilia,60.0,100.0,2.0,29.0,0.0,2.0,0.0,0.0,160.0,82.0
142,santadoroteia,13.0,223.0,3.0,58.0,0.0,3.0,0.0,0.0,84.0,54.0
143,santoamerico,3361.0,4909.0,462.0,13.0,70.0,36.0,12.0,3.0,14704.0,2953.0
144,santoamericoteste,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,santoantonio,1.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
146,sas,24.0,4.0,6.0,510.0,104.0,19.0,45.0,0.0,14.0,0.0
147,sasadapt,43.0,27.0,26.0,7.0,8.0,3.0,0.0,0.0,8.0,41.0
148,sasadaptem,44.0,20.0,19.0,60.0,25.0,32.0,0.0,0.0,19.0,7.0
149,senhorbonfim,14.0,119.0,277.0,0.0,0.0,35.0,0.0,0.0,35.0,136.0
150,souhabilis,164.0,0.0,1.0,70.0,0.0,0.0,1.0,0.0,544.0,6.0
151,spdacruz,5304.0,429.0,154.0,2714.0,2.0,11.0,0.0,0.0,48739.0,1637.0
152,stellamarisaguaverde,1178.0,341.0,77.0,77.0,1.0,12.0,0.0,1.0,5438.0,265.0
153,stellamarisjuveve,5691.0,5013.0,103.0,1213.0,124.0,42.0,16.0,2.0,36040.0,7925.0
154,stellamarisxaxim,4427.0,2179.0,196.0,561.0,8.0,0.0,0.0,0.0,13598.0,1896.0
155,universitariolondrina,7164.0,4046.0,251.0,2740.0,551.0,17.0,11.0,5.0,74701.0,7314.0
156,universobarcarena,2000.0,332.0,52.0,1570.0,77.0,33.0,0.0,1.0,14896.0,598.0
157,villalobos,3074.0,3566.0,198.0,2402.0,976.0,116.0,13.0,2.0,50104.0,6245.0
158,zacariasliberato,2.0,0.0,238.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
159,abdiasmartins,0.0,146.0,146.0,0.0,0.0,1.0,0.0,0.0,0.0,265.0
160,abiliomartins,0.0,15.0,44.0,1.0,0.0,3.0,0.0,0.0,3.0,23.0
161,antoniomelo,0.0,90.0,55.0,0.0,6.0,3.0,0.0,0.0,0.0,171.0
162,colegiosaoluis,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,cursoenfase,0.0,29.0,8.0,70.0,0.0,5.0,0.0,0.0,364.0,66.0
164,dante,0.0,2.0,6.0,12.0,16.0,12.0,2.0,0.0,2.0,6.0
165,eldapereira,0.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
166,escoladofuturo,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
167,esmg,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,gamt,0.0,46.0,106.0,0.0,10.0,77.0,0.0,0.0,0.0,74.0
169,hamiltondarocha,0.0,1060.0,1647.0,0.0,2.0,45.0,0.0,0.0,0.0,494.0
170,ipdhsolucoes,0.0,28.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,155.0
171,joaorosa,0.0,32.0,63.0,0.0,0.0,4.0,0.0,0.0,0.0,45.0
172,josesoares,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,manoelmarcelino,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,mariamerces,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,mocinhagomes,0.0,20.0,95.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0
176,raimundoalves,0.0,2.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
177,riobrancocampinas,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,santoagostinhomg,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
179,sasadaptfund,0.0,23.0,6.0,0.0,23.0,7.0,0.0,0.0,0.0,12.0
180,valdemiracoelho,0.0,78.0,277.0,0.0,2.0,1.0,0.0,0.0,0.0,248.0
181,vicentecravo,0.0,26.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
182,antoniairene,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,antoniolima,0.0,0.0,295.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
184,barraazul,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
185,cognitivo,0.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
186,conradochaves,0.0,0.0,243.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
187,criancaesperanca,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,elitecuritiba,0.0,0.0,6.0,2.0,0.0,6.0,0.0,1.0,163.0,0.0
189,franciscoperes,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,goncalomartins,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,guilhermefilho,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,habilisescolaecurso,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,joaosampaio,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,josemelo,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,luizgonzaga,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
196,mariacarmo,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
197,mariaeunice,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,marialaura,0.0,0.0,171.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
199,marialeao,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,marianair,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,mariaolinda,0.0,0.0,101.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
202,melquiadescamelo,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,monsenhorfrancisco,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,nsfatima,0.0,0.0,288.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
205,overnascimentodecastro,0.0,0.0,14.0,9.0,0.0,1.0,0.0,0.0,949.0,7.0
206,pedrocamelo,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,pesenglish,0.0,0.0,1.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0
208,recriar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,sistemaeducacionalmaster,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,venceslauchaves,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,arena,0.0,0.0,0.0,8.0,7.0,4.0,1.0,0.0,0.0,0.0
212,cecb,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,1.0
213,cfc,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
214,colegioanchietai,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0
215,colegioanchietaii,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0
216,colegiobianguloiv,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,13.0,2.0
217,colegionovopatio,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,111.0,0.0
218,crb,0.0,0.0,0.0,19412.0,0.0,0.0,4.0,3.0,90786.0,0.0
219,cursoleopoldo,0.0,0.0,0.0,38.0,0.0,2.0,7.0,1.0,839.0,1.0
220,domus,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,309.0,0.0
221,idaam,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,1030.0,0.0
222,montessori,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,158.0,0.0
223,oficinadoestudante,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,1.0
224,poliedro,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,13.0,0.0
225,santoagostinho,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
226,serios,0.0,0.0,0.0,6.0,7.0,4.0,0.0,0.0,0.0,2.0
227,simbios,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,356.0,0.0
228,anossaatmosfera,0.0,0.0,0.0,0.0,295.0,6.0,0.0,0.0,0.0,463.0
229,arturtavares,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
230,bernardosayao,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
231,colegiomilitardompedroii,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
232,domhelder,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
233,herciliovilanova,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
234,idb,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
235,liderasas,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
236,motiva,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0
237,tiquinhodegente,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
238,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,19.0,0.0
239,zecarioca,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
240,forumcultural,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
241,camerinocursos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
242,dommga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
243,blueschooleducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,caur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,formacoesipu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,joaoferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,manoelfrancisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,nucleo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,podion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,saseducacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
