,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
115,idb,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,insa,411,121.0,21.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,1.0,103.0,80.0,49.0
117,institutoeurofarma,766,50.0,0.0,0.0,0.0,113.0,1.0,0.0,0.0,0.0,0.0,239.0,363.0,0.0
118,integra,4835,1069.0,1427.0,0.0,11.0,40.0,0.0,0.0,0.0,197.0,0.0,589.0,1368.0,134.0
119,integradaeducativa,1231,275.0,88.0,0.0,0.0,218.0,0.0,0.0,6.0,6.0,0.0,489.0,97.0,52.0
120,invictus,2308,19.0,852.0,0.0,0.0,43.0,0.0,0.0,0.0,10.0,2.0,270.0,77.0,1035.0
121,ipdhsolucoes,615,1.0,12.0,0.0,11.0,0.0,0.0,0.0,2.0,302.0,0.0,108.0,177.0,2.0
122,iracemarufino,189,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0
123,isem,887,28.0,120.0,0.0,0.0,4.0,5.0,0.0,63.0,0.0,0.0,592.0,75.0,0.0
124,ismart,797,16.0,4.0,0.0,3.0,274.0,0.0,0.0,1.0,19.0,2.0,313.0,165.0,0.0
125,itamarati,7482,3887.0,1344.0,0.0,30.0,0.0,462.0,0.0,185.0,73.0,0.0,1111.0,131.0,259.0
126,jardimsaopaulo,253,2.0,4.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,107.0,51.0,0.0
127,joaobelem,477,80.0,111.0,0.0,0.0,1.0,8.0,0.0,0.0,16.0,0.0,61.0,196.0,4.0
128,joaorosa,194,2.0,48.0,0.0,0.0,19.0,0.0,0.0,0.0,35.0,0.0,55.0,35.0,0.0
129,joaosampaio,251,74.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,80.0,1.0
130,joaoxxiii,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
131,josemariano,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,josemelo,20,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,9.0,0.0
133,josepinheiro,563,22.0,149.0,1.0,0.0,244.0,0.0,0.0,0.0,46.0,13.0,22.0,66.0,0.0
134,josesoares,18,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
135,laboratoriosromildo,282,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,262.0,11.0
136,liessin,452,8.0,1.0,0.0,8.0,17.0,11.0,0.0,27.0,124.0,0.0,240.0,16.0,0.0
137,liessinbarra,307,0.0,10.0,0.0,8.0,1.0,6.0,0.0,9.0,59.0,0.0,214.0,0.0,0.0
