,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs
54,colegiojoaopaulo,1.58,1.27,0.12,0.02
55,colegioliceu,1.2,1.23,0.0,0.57
56,colegiomartinus,1.4,1.2,0.0,0.4
57,colegioplanck,1.66,1.18,0.0,0.15
58,colegiopremium,1.72,1.05,0.18,0.05
59,colegiopremiumgentil,1.23,1.76,0.0,0.0
60,colegioprogresso,1.41,1.21,0.0,0.38
61,colegioriobranco,1.27,1.25,0.0,0.48
62,colegiosantamaria,1.27,1.22,0.04,0.46
63,colegiosaoluis,1.17,1.36,0.0,0.47
64,colegiosete,1.32,1.16,0.11,0.4
65,colegiouirapuru,1.09,1.21,0.03,0.66
66,colegiouniverso,1.21,1.73,0.0,0.05
67,conexaosaber,1.16,1.03,0.78,0.02
68,conradochaves,1.24,1.35,0.4,0.0
69,contemporaneocidadeverde,1.0,1.88,0.0,0.12
70,contemporaneolagoanova,1.02,1.98,0.0,0.0
71,criancaesperanca,1.13,1.87,0.0,0.0
72,culturainglesa,1.0,1.07,0.86,0.07
73,cursobase,1.73,1.19,0.0,0.08
74,cursoenfase,1.92,1.06,0.0,0.02
75,cursoisfera,1.91,1.0,0.0,0.07
76,cursoleopoldo,1.25,1.75,0.0,0.0
77,cursosazambuja,1.21,1.69,0.06,0.04
78,dante,1.25,1.25,0.0,0.5
79,deltaeducacional,1.0,1.0,0.0,1.0
80,duquecastilho,1.93,1.04,0.0,0.03
81,eacorcovado,1.62,1.1,0.22,0.06
82,eccos,1.59,1.08,0.13,0.07
83,educacaoinfantilsemear,2.0,1.0,0.0,0.0
84,educamais,1.04,1.86,0.04,0.05
85,educarse,1.29,1.54,0.01,0.13
86,einsteinassis,1.12,1.61,0.05,0.22
87,eldapereira,1.08,1.46,0.4,0.02
88,elitecuritiba,1.96,1.04,0.0,0.0
89,elitecuritibaemilianoperneta,1.83,1.03,0.02,0.11
90,equipe,1.31,1.26,0.0,0.43
91,escolaceciliameireles,1.07,1.08,0.84,0.01
92,escolacristanavarzea,1.39,1.61,0.0,0.0
93,escoladofuturo,1.24,1.25,0.01,0.5
94,escolajardimdasnacoes,1.27,1.24,0.0,0.49
95,escolamaster,1.23,1.0,0.0,0.77
96,escolavida,1.98,1.0,0.01,0.01
97,esmg,1.24,1.23,0.0,0.53
98,espacoeducar,1.69,1.31,0.0,0.0
99,faculdadeflamingo,1.74,1.12,0.06,0.08
100,forumcultural,1.25,1.25,0.0,0.51
101,franciscoperes,1.0,1.72,0.28,0.0
102,francobrasileiro,1.4,1.2,0.0,0.4
103,fundacaobradesco,1.25,1.25,0.0,0.5
104,galois,1.23,1.24,0.0,0.53
105,gamt,1.32,1.29,0.26,0.06
106,guilhermefilho,1.1,1.47,0.21,0.01
107,habilisescolaecurso,1.97,1.0,0.0,0.03
108,hamiltondarocha,1.27,1.27,0.27,0.18
109,idb,1.3,1.17,0.0,0.53
110,insa,1.38,1.33,0.03,0.25
111,institutoeurofarma,1.53,1.23,0.01,0.21
112,institutokairos,1.74,1.25,0.0,0.01
113,integra,1.36,1.36,0.27,0.01
114,integradaeducativa,1.38,1.5,0.03,0.08
115,invictus,1.06,1.6,0.32,0.02
116,ipdhsolucoes,1.41,1.39,0.03,0.02
117,iracemarufino,1.04,1.92,0.04,0.0
118,isem,1.68,1.12,0.12,0.01
119,ismart,1.33,1.28,0.0,0.39
120,itamarati,1.75,1.03,0.18,0.0
121,jardimsaopaulo,1.27,1.24,0.0,0.49
122,jeanpiaget,1.26,1.24,0.0,0.49
123,joaobelem,1.43,1.33,0.22,0.0
124,joaorosa,1.25,1.18,0.24,0.2
125,joaosampaio,1.31,1.53,0.14,0.01
126,josemelo,1.47,1.47,0.0,0.0
127,josepinheiro,1.27,1.55,0.09,0.0
128,laboratoriosromildo,1.01,1.95,0.04,0.0
129,liderasas,1.4,1.2,0.0,0.4
130,liessin,1.68,1.12,0.03,0.12
131,liessinbarra,1.69,1.12,0.04,0.12
132,litteratus,1.44,1.29,0.1,0.17
133,luizgonzaga,1.12,1.42,0.15,0.04
134,macvest,1.68,1.16,0.01,0.13
135,manoelqueiroz,1.09,1.45,0.27,0.18
136,mariacarmo,1.97,1.03,0.0,0.0
137,mariaeunice,1.18,1.37,0.45,0.0
138,marialaura,1.0,1.61,0.31,0.0
139,marialeao,1.07,1.36,0.0,0.57
140,marianair,1.17,1.51,0.3,0.0
141,mariaolinda,1.06,1.62,0.26,0.0
142,mariliamattoso,1.6,1.18,0.19,0.02
143,master,1.93,1.0,0.0,0.07
144,mastersolucoes,1.71,1.29,0.0,0.0
145,melquiadescamelo,1.62,1.15,0.08,0.0
146,moaciralves,1.28,1.35,0.13,0.11
147,mocinhagomes,1.22,1.44,0.0,0.0
148,monsenhorfrancisco,1.61,1.31,0.07,0.01
