,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
140,stellamarisxaxim,40.67,6.0,2.05,0.0,0.0,23.89,54.0,77.88,0.17
141,universitariolondrina,30.39,102.0,1.39,1.63,5.0,6.91,330.0,42.52,0.24
142,universobarcarena,11.03,0.0,16.06,0.09,0.0,0.79,71.0,101.07,0.05
143,villalobos,28.69,169.0,1.5,9.66,23.0,2.2,433.0,61.1,0.29
144,abiliomartins,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.81,0.0
145,albertsabin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,alfacembilingue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,anossaatmosfera,0.0,0.0,0.0,0.42,1.0,0.0,3.0,2.31,0.0
148,aprovest,0.0,0.0,63.0,0.0,0.0,63.0,0.0,0.0,0.0
149,arena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,atmo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,beityaacov,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,benjaminconstant,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8,0.0
153,blueschooleducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,camerinocursos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,catarinense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,caur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
157,cav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
158,cecb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,cermac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,cnslpb,0.0,0.0,28.83,0.0,0.0,5.49,0.0,0.0,0.0
161,cognitivo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0
