,namespace,Produto,n_usuarios,licenças,Deal Owner
211,sasadaptfund,Pedagógico,7.0,0 - 30,S/Deal Owner Hubspot
212,senhorbonfim,Pedagógico,230.0,30 - 400,S/Deal Owner Hubspot
213,tiquinhodegente,Pedagógico,115.0,30 - 400,S/Deal Owner Hubspot
214,valdemiracoelho,Pedagógico,575.0,400 - 800,S/Deal Owner Hubspot
215,visaorecife,Pedagógico,11.0,0 - 30,S/Deal Owner Hubspot
216,acessoemilianoperneta,Banco,13.0,0 - 30,S/Deal Owner Hubspot
217,albertocabral,Banco,65.0,30 - 400,S/Deal Owner Hubspot
218,amais,Banco,1554.0,1200 - x,S/Deal Owner Hubspot
219,antoniocesar,Banco,18.0,0 - 30,S/Deal Owner Hubspot
220,antonioportela,Banco,47.0,30 - 400,S/Deal Owner Hubspot
221,apogeu,Banco,111.0,30 - 400,S/Deal Owner Hubspot
222,arlindocavalcanti,Banco,281.0,30 - 400,S/Deal Owner Hubspot
223,arturtavares,Banco,436.0,400 - 800,S/Deal Owner Hubspot
224,babycamp,Banco,4.0,0 - 30,Talitha Diane Santos
225,babyhouse,Banco,7.0,0 - 30,Talitha Diane Santos
226,barraazul,Banco,208.0,30 - 400,S/Deal Owner Hubspot
227,benjamitacardona,Banco,287.0,30 - 400,S/Deal Owner Hubspot
228,bernardosayao,Banco,322.0,30 - 400,S/Deal Owner Hubspot
229,caur,Banco,110.0,30 - 400,S/Deal Owner Hubspot
230,cecb,Banco,841.0,800 - 1200,S/Deal Owner Hubspot
231,centroarcadenoe,Banco,7.0,0 - 30,Talitha Diane Santos
232,cermac,Banco,517.0,400 - 800,S/Deal Owner Hubspot
233,cfc,Banco,9.0,0 - 30,S/Deal Owner Hubspot
234,cicerofranklin,Banco,305.0,30 - 400,S/Deal Owner Hubspot
235,colegioanchietai,Banco,25.0,0 - 30,S/Deal Owner Hubspot
236,colegioanchietaii,Banco,33.0,30 - 400,S/Deal Owner Hubspot
237,colegiobiangulo,Banco,16.0,0 - 30,S/Deal Owner Hubspot
238,colegiocanarinho,Banco,77.0,30 - 400,S/Deal Owner Hubspot
239,colegioevoluir,Banco,8.0,0 - 30,Talitha Diane Santos
240,colegioma,Banco,0.0,0 - 30,S/Deal Owner Hubspot
241,colegiomilitardompedroii,Banco,416.0,400 - 800,S/Deal Owner Hubspot
242,colegiotelescastelao,Banco,8.0,0 - 30,Talitha Diane Santos
243,colegiotelesmourabrasil,Banco,5.0,0 - 30,Talitha Diane Santos
244,colegiovitoria,Banco,12.0,0 - 30,Talitha Diane Santos
245,colsaberviver,Banco,3.0,0 - 30,Talitha Diane Santos
246,contratos2021,Banco,1.0,0 - 30,S/Deal Owner Hubspot
247,criancaesperanca,Banco,205.0,30 - 400,S/Deal Owner Hubspot
248,djanirapereira,Banco,46.0,30 - 400,S/Deal Owner Hubspot
249,domhelder,Banco,56.0,30 - 400,S/Deal Owner Hubspot
250,duquecastilho,Banco,225.0,30 - 400,S/Deal Owner Hubspot
251,educacaoinfantilsemear,Banco,26.0,0 - 30,S/Deal Owner Hubspot
252,educaprime,Banco,14.0,0 - 30,S/Deal Owner Hubspot
253,eliteemilianoperneta,Banco,7.0,0 - 30,S/Deal Owner Hubspot
254,eluneonline,Banco,43.0,30 - 400,Fernanda Pereira
255,escolabedelandia,Banco,7.0,0 - 30,Talitha Diane Santos
256,escolacristaboaviagem,Banco,11.0,0 - 30,Talitha Diane Santos
257,escolacristacandeias,Banco,8.0,0 - 30,Talitha Diane Santos
258,escolacristaemaldeia,Banco,9.0,0 - 30,Talitha Diane Santos
259,escolacristaempiedade,Banco,9.0,0 - 30,Talitha Diane Santos
260,escolacristanavarzea,Banco,13.0,0 - 30,Talitha Diane Santos
261,escolasantaclara,Banco,6.0,0 - 30,Talitha Diane Santos
262,escolinhacaca,Banco,14.0,0 - 30,S/Deal Owner Hubspot
263,espacoeducar,Banco,46.0,30 - 400,S/Deal Owner Hubspot
264,franciscanopioxii,Banco,9.0,0 - 30,S/Deal Owner Hubspot
265,goncalomartins,Banco,127.0,30 - 400,S/Deal Owner Hubspot
266,grandepasso,Banco,9.0,0 - 30,S/Deal Owner Hubspot
267,habilisescolaecurso,Banco,89.0,30 - 400,S/Deal Owner Hubspot
268,herciliovilanova,Banco,18.0,0 - 30,S/Deal Owner Hubspot
269,institutokairos,Banco,138.0,30 - 400,S/Deal Owner Hubspot
270,Ipdhsolucoes,Banco,0.0,0 - 30,S/Deal Owner Hubspot
271,joaoferreira,Banco,193.0,30 - 400,S/Deal Owner Hubspot
272,joaoxxiii,Banco,680.0,400 - 800,S/Deal Owner Hubspot
273,josecabral,Banco,29.0,0 - 30,S/Deal Owner Hubspot
274,josemariano,Banco,30.0,0 - 30,S/Deal Owner Hubspot
275,josemelo,Banco,476.0,400 - 800,S/Deal Owner Hubspot
276,josesoares,Banco,108.0,30 - 400,S/Deal Owner Hubspot
277,kidsbaby,Banco,7.0,0 - 30,Talitha Diane Santos
278,liviasoares,Banco,79.0,30 - 400,S/Deal Owner Hubspot
279,magno,Banco,9.0,0 - 30,S/Deal Owner Hubspot
280,magnumagostiniano,Banco,9.0,0 - 30,S/Deal Owner Hubspot
281,manoelbatista,Banco,35.0,30 - 400,S/Deal Owner Hubspot
282,manoelbernardino,Banco,226.0,30 - 400,S/Deal Owner Hubspot
283,manoelmarcelino,Banco,53.0,30 - 400,S/Deal Owner Hubspot
284,manoelqueiroz,Banco,182.0,30 - 400,S/Deal Owner Hubspot
285,mariacarmo,Banco,481.0,400 - 800,S/Deal Owner Hubspot
286,marialeao,Banco,92.0,30 - 400,S/Deal Owner Hubspot
287,mariamerces,Banco,25.0,0 - 30,S/Deal Owner Hubspot
288,marqueslima,Banco,7.0,0 - 30,Talitha Diane Santos
289,mastersolucoes,Banco,30.0,0 - 30,S/Deal Owner Hubspot
290,materdei,Banco,5.0,0 - 30,Talitha Diane Santos
291,melquiadescamelo,Banco,161.0,30 - 400,S/Deal Owner Hubspot
292,msetemporario,Banco,10.0,0 - 30,S/Deal Owner Hubspot
293,nsconceicao,Banco,36.0,30 - 400,S/Deal Owner Hubspot
294,nucleo,Banco,9.0,0 - 30,S/Deal Owner Hubspot
295,oswalddeandrade,Banco,9.0,0 - 30,S/Deal Owner Hubspot
296,palasatena,Banco,39.0,30 - 400,S/Deal Owner Hubspot
297,paulovi,Banco,29.0,0 - 30,S/Deal Owner Hubspot
298,pauloviana,Banco,813.0,800 - 1200,S/Deal Owner Hubspot
299,pcf,Banco,253.0,30 - 400,S/Deal Owner Hubspot
300,pedrocamelo,Banco,226.0,30 - 400,S/Deal Owner Hubspot
301,pedromurilo,Banco,279.0,30 - 400,S/Deal Owner Hubspot
302,physicsagustomontenegro,Banco,0.0,0 - 30,S/Deal Owner Hubspot
303,physicstrescoracoes,Banco,7.0,0 - 30,S/Deal Owner Hubspot
304,pluricrecheescola,Banco,4.0,0 - 30,Talitha Diane Santos
305,podion,Banco,347.0,30 - 400,S/Deal Owner Hubspot
306,positivo,Banco,3.0,0 - 30,S/Deal Owner Hubspot
307,potenciacao,Banco,2.0,0 - 30,S/Deal Owner Hubspot
